make,model,variant,year,fuel_type,transmission,cc,mileage,seating_capacity,body_type,is_active,is_discontinued,source,confidence,range_key,start_year,end_year,model_generation,carwale_make_slug,carwale_model_slug,carwale_version_id,carwale_version_slug,carwale_model_url,ex_showroom_price
Ashok Leyland,Stile,LE 7 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-le-7-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3121,le-7-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LE 8 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-le-8-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3116,le-8-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LS 7 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-ls-7-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3122,ls-7-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LS 8 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-ls-8-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3117,ls-8-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LX 7 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-lx-7-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3123,lx-7-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LX 7 STR Alloy,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-lx-7-str-alloy-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3124,lx-7-str-alloy,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LX 8 STR,2013,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-lx-8-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3118,lx-8-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LE 7 STR,2014,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-le-7-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3121,le-7-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LE 8 STR,2014,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-le-8-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3116,le-8-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
Ashok Leyland,Stile,LS 7 STR,2014,Diesel,Manual,1461,20.07,8 Person,,False,True,carwale,carwale_launch_discontinue_range,ashok-leyland-stile-ls-7-str-diesel-manual-1461-2013-2015,2013,2015,Stile [2013-2015],ashok-leyland,stile-2013-2015,3122,ls-7-str,https://www.carwale.com/ashok-leyland-cars/stile-2013-2015/,
