brand,model,brand_slug,model_slug,source,source_url,target_month,target_year,target_month_label,offer_month,offer_year,offer_month_label,period_type,source_variant_label,variant_scope,matched_canonical_variants,match_count,cash_discount,exchange_bonus,scrappage_bonus,upgrade_bonus,corporate_discount,rural_offer,additional_discount,finance_offer,warranty_offer,accessories_offer,max_benefit,computed_possible_max,breakup_available,total_matches_computed,notes,confidence,dealer_confirmation_required,raw_block
Honda,Amaze,honda,amaze,v3cars,https://www.v3cars.com/honda-cars/amaze/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,"APRIL 2026 Old Amaze Petrol-Manual, Auto",petrol_group,Honda Amaze V | Honda Amaze V CVT | Honda Amaze VX | Honda Amaze VX CVT | Honda Amaze ZX | Honda Amaze ZX CVT,6,10000,10000,0,0,3000,3000,0,,,,33000,23000,True,False,"Corporate/Rural: Loyalty Rs. 10,000",high,True,"APRIL 2026 Old Amaze Petrol-Manual, Auto | Cash Rs. 10,000 - | Exchange Rs. 10,000 - | Corporate Rs. 3,000 - Loyalty Rs. 10,000 - | Total Rs. 33,000 Max discounts New Amaze Petrol-Manual, Auto (V Variant) Discount Type Discount Notes (If applicable)"
Honda,Amaze,honda,amaze,v3cars,https://www.v3cars.com/honda-cars/amaze/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,"New Amaze Petrol Manual, Auto (V Variant)",petrol_group,Honda Amaze V | Honda Amaze V CVT | Honda Amaze VX | Honda Amaze VX CVT | Honda Amaze ZX | Honda Amaze ZX CVT,6,0,0,0,0,3000,3000,0,,,,13000,3000,True,False,"Corporate/Rural: Loyalty Rs. 10,000",high,True,"New Amaze Petrol Manual, Auto (V Variant) | Cash Rs. 0 - | Exchange Rs. 0 - | Corporate Rs. 3,000 - Loyalty Rs. 10,000 - | Total Rs. 13,000 Max discounts New Amaze Petrol-Manual, Auto (VX Variant) Discount Type Discount Notes (If applicable)"
Honda,Amaze,honda,amaze,v3cars,https://www.v3cars.com/honda-cars/amaze/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,"New Amaze Petrol Manual, Auto (VX Variant)",petrol_group,Honda Amaze V | Honda Amaze V CVT | Honda Amaze VX | Honda Amaze VX CVT | Honda Amaze ZX | Honda Amaze ZX CVT,6,10000,0,0,0,3000,3000,0,,,,23000,13000,True,False,"Corporate/Rural: Loyalty Rs. 10,000",high,True,"New Amaze Petrol Manual, Auto (VX Variant) | Cash Rs. 10,000 - | Exchange Rs. 0 - | Corporate Rs. 3,000 - Loyalty Rs. 10,000 - | Total Rs. 23,000 Max discounts New Amaze Petrol-Manual (ZX Variant) Discount Type Discount Notes (If applicable)"
Honda,Amaze,honda,amaze,v3cars,https://www.v3cars.com/honda-cars/amaze/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,New Amaze Petrol Manual (ZX Variant),petrol_group,Honda Amaze V | Honda Amaze V CVT | Honda Amaze VX | Honda Amaze VX CVT | Honda Amaze ZX | Honda Amaze ZX CVT,6,15000,15000,0,0,3000,3000,0,,,,43000,33000,True,False,"Corporate/Rural: Loyalty Rs. 10,000",high,True,"New Amaze Petrol Manual (ZX Variant) | Cash Rs. 15,000 - | Exchange Rs. 15,000 - | Corporate Rs. 3,000 - Loyalty Rs. 10,000 - | Total Rs. 43,000 Max discounts New Amaze Petrol-Auto (ZX Variant) Discount Type Discount Notes (If applicable)"
Honda,Amaze,honda,amaze,v3cars,https://www.v3cars.com/honda-cars/amaze/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,New Amaze Petrol Auto (ZX Variant),petrol_group,Honda Amaze V | Honda Amaze V CVT | Honda Amaze VX | Honda Amaze VX CVT | Honda Amaze ZX | Honda Amaze ZX CVT,6,0,0,0,0,3000,3000,0,,,,13000,3000,True,False,"Corporate/Rural: Loyalty Rs. 10,000 | Total: Max discounts",high,True,"New Amaze Petrol Auto (ZX Variant) | Cash Rs. 0 - | Exchange Rs. 0 - | Corporate Rs. 3,000 - Loyalty Rs. 10,000 - | Total Rs. 13,000 Max discounts"
Honda,City,honda,city,v3cars,https://www.v3cars.com/honda-cars/city/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,All variants,all_variants,Honda City Sport | Honda City SV | Honda City V | Honda City V CVT | Honda City VX | Honda City VX CVT | Honda City ZX | Honda City ZX CVT,8,40000,20000,0,0,5000,5000,0,,,,89000,65000,True,False,"Corporate/Rural: Loyalty Rs. 24,000",high,True,"Cash Rs. 40,000 - | Exchange Rs. 20,000 - | Corporate Rs. 5,000 - Loyalty Rs. 24,000 - | Total Rs. 89,000 Max discounts Normal Petrol-Auto (VX / Sports Variant) Discount Type Discount Notes (If applicable)"
Honda,City,honda,city,v3cars,https://www.v3cars.com/honda-cars/city/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,Normal Petrol Auto (VX / Sports Variant),petrol_group,Honda City Sport | Honda City SV | Honda City V | Honda City V CVT | Honda City VX | Honda City VX CVT | Honda City ZX | Honda City ZX CVT,8,40000,20000,0,0,5000,5000,0,,,,89000,65000,True,False,"Corporate/Rural: Loyalty Rs. 24,000",high,True,"Normal Petrol Auto (VX / Sports Variant) | Cash Rs. 40,000 - | Exchange Rs. 20,000 - | Corporate Rs. 5,000 - Loyalty Rs. 24,000 - | Total Rs. 89,000 Max discounts Normal Petrol-Auto (V Variant) Discount Type Discount Notes (If applicable)"
Honda,City,honda,city,v3cars,https://www.v3cars.com/honda-cars/city/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,Normal Petrol Auto (V Variant),petrol_group,Honda City Sport | Honda City SV | Honda City V | Honda City V CVT | Honda City VX | Honda City VX CVT | Honda City ZX | Honda City ZX CVT,8,20000,20000,0,0,5000,5000,0,,,,69000,45000,True,False,"Corporate/Rural: Loyalty Rs. 24,000",high,True,"Normal Petrol Auto (V Variant) | Cash Rs. 20,000 - | Exchange Rs. 20,000 - | Corporate Rs. 5,000 - Loyalty Rs. 24,000 - | Total Rs. 69,000 Max discounts Normal Petrol-Manual, Auto (ZX Variant) Discount Type Discount Notes (If applicable)"
Honda,City,honda,city,v3cars,https://www.v3cars.com/honda-cars/city/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,"Normal Petrol Manual, Auto (ZX Variant)",petrol_group,Honda City Sport | Honda City SV | Honda City V | Honda City V CVT | Honda City VX | Honda City VX CVT | Honda City ZX | Honda City ZX CVT,8,40000,60000,0,0,5000,5000,0,,,,129000,105000,True,False,"Corporate/Rural: Loyalty Rs. 24,000",high,True,"Normal Petrol Manual, Auto (ZX Variant) | Cash Rs. 40,000 - | Exchange Rs. 60,000 - | Corporate Rs. 5,000 - Loyalty Rs. 24,000 - | Total Rs. 1,29,000 Max discounts Hybrid Petrol-Auto (ZX Variant) Discount Type Discount Notes (If applicable)"
Honda,City,honda,city,v3cars,https://www.v3cars.com/honda-cars/city/offers-discounts,5,2026,May 2026,4,2026,April 2026,previous,Hybrid Petrol Auto (ZX Variant),variant_group,Honda City V | Honda City ZX | Honda City ZX CVT,3,155000,25000,0,0,0,0,0,,,,180000,180000,True,True,Corporate/Rural: Loyalty Rs. 0 | Total: Max discounts,high,True,"Hybrid Petrol Auto (ZX Variant) | Cash Rs. 1,55,000 - | Exchange Rs. 25,000 - | Corporate Rs. 0 - Loyalty Rs. 0 - | Total Rs. 1,80,000 Max discounts"
