make,model,variant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Aston Martin,Vantage,V12 Coupe,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
BMW,5 Series GT,530d,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,530d xDrive,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,535d,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,535d xDrive,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,535i,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,535i xDrive,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,550i,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,550i xDrive,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,5 Series GT,GT 530d LE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BMW,M3,Convertible,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,M3,Coupe,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BMW,M5,Sedan,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo Old,LT 1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,LS 1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,LS 1.2 Techno,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,LT 1.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,LT 1.2 ABS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Aveo U-VA,LT 1.2 ABS & Airbag,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Optra Magnum,LS 1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Optra Magnum,LS 2.0 TCDi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Optra Magnum,LT 1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Optra Magnum,LT 2.0 TCDi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Optra Magnum,MAX 2.0 TCDi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Active 1.3L MULTIJET Diesel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Active Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Dynamic 1.3L MULTIJET Diesel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Dynamic Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion 1.3L MULTIJET Diesel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion Petrol,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,1.4L Emotion Pack Petrol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion 1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion Pack 1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion Pack 1.3 90HP,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Fiat,Grande Punto,Emotion Pack 1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SD 1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SDE 1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SDX 1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SL 1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SLE 1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,SLX 1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiat,Palio Stile,Sport 1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Force Motors,Force One,SX 7 STR,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Ford,Fiesta Classic,CLXi 1.4 TDCi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,Fiesta Classic,CLXi 1.6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ford,Fiesta Classic,LXi 1.4 TDCi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,Fiesta Classic,LXi 1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
