mileage_google_review_grouped_engine_family,,,,,,,,,,,,,,,,,,,
make,model,fuel,transmission,transmissionSubtype,engineFamily,count,sampleVariants,googleQuery1,googleQuery2,googleQuery3,googleQuery4,googleQuery5,evidenceValue,evidenceBasis,sourceName,sourceUrl,decision,note,variantProfileKeys
Tata,Harrier,Diesel,Manual,MT,167.62bhp_350nm,14,Tata Harrier Adventure X | Tata Harrier Adventure X Dark | Tata Harrier Adventure X Plus | Tata Harrier Adventure X Plus Dark | Tata Harrier Fearless Ultra | Tata Harrier Fearless Ultra Red DARK | Tata Harrier Fearless X | Tata Harrier Fearless X Dark,"""Tata Harrier"" Diesel MT ARAI mileage","""Tata Harrier"" 167.62bhp 350nm claimed mileage kmpl","""Tata Harrier"" Diesel MT brochure mileage","""Tata Harrier"" Diesel MT site:v3cars.com mileage","""Tata Harrier"" Diesel MT site:carwale.com mileage",16.8,,,,,,tata_harrier__adventure-x__diesel_manual | tata_harrier__adventure-x-dark__diesel_manual | tata_harrier__adventure-x-plus__diesel_manual | tata_harrier__adventure-x-plus-dark__diesel_manual | tata_harrier__fearless-ultra__diesel_manual | tata_harrier__fearless-ultra-red-dark__diesel_manual | tata_harrier__fearless-x__diesel_manual | tata_harrier__fearless-x-dark__diesel_manual | tata_harrier__fearless-x-plus__diesel_manual | tata_harrier__fearless-x-plus-dark__diesel_manual | tata_harrier__fearless-x-plus-stealth__diesel_manual | tata_harrier__pure-x__diesel_manual | tata_harrier__pure-x-dark__diesel_manual | tata_harrier__smart__diesel_manual
Tata,Safari,Petrol,Manual,MT,167.62bhp_280nm_petrol,14,Tata Safari Petrol Accomplished Ultra | Tata Safari Petrol Accomplished Ultra 6S | Tata Safari Petrol Accomplished Ultra Red DARK | Tata Safari Petrol Accomplished Ultra Red DARK 6S | Tata Safari Petrol Accomplished X | Tata Safari Petrol Accomplished X Plus | Tata Safari Petrol Accomplished X Plus 6S | Tata Safari Petrol Accomplished X Plus 6S DARK,"""Tata Safari"" Petrol MT ARAI mileage","""Tata Safari"" 167.62bhp 280nm petrol claimed mileage kmpl","""Tata Safari"" Petrol MT brochure mileage","""Tata Safari"" Petrol MT site:v3cars.com mileage","""Tata Safari"" Petrol MT site:carwale.com mileage",16.2,,,https://www.garwarehitechfilms.com/paint-protection-films/blog/tata-safari-petrol-2025,,,tata_safari__petrol-accomplished-ultra__petrol_manual | tata_safari__petrol-accomplished-ultra-6s__petrol_manual | tata_safari__petrol-accomplished-ultra-red-dark__petrol_manual | tata_safari__petrol-accomplished-ultra-red-dark-6s__petrol_manual | tata_safari__petrol-accomplished-x__petrol_manual | tata_safari__petrol-accomplished-x-plus__petrol_manual | tata_safari__petrol-accomplished-x-plus-6s__petrol_manual | tata_safari__petrol-accomplished-x-plus-6s-dark__petrol_manual | tata_safari__petrol-accomplished-x-plus-dark__petrol_manual | tata_safari__petrol-adventure-x-plus__petrol_manual | tata_safari__petrol-adventure-x-plus-dark__petrol_manual | tata_safari__petrol-pure-x__petrol_manual | tata_safari__petrol-pure-x-dark__petrol_manual | tata_safari__petrol-smart__petrol_manual
Toyota,Innova Crysta,Diesel,Manual,MT,147.51bhp_343nm,14,Toyota Innova Crysta 2.4 GX 7Str | Toyota Innova Crysta 2.4 GX 7Str Platinum White Pearl | Toyota Innova Crysta 2.4 GX 8Str | Toyota Innova Crysta 2.4 GX 8Str Platinum White Pearl | Toyota Innova Crysta 2.4 GX Plus 7Str | Toyota Innova Crysta 2.4 GX Plus 7Str Platinum White Pearl | Toyota Innova Crysta 2.4 GX Plus 8Str | Toyota Innova Crysta 2.4 GX Plus 8Str Platinum White Pearl,"""Toyota Innova Crysta"" Diesel MT ARAI mileage","""Toyota Innova Crysta"" 147.51bhp 343nm claimed mileage kmpl","""Toyota Innova Crysta"" Diesel MT brochure mileage","""Toyota Innova Crysta"" Diesel MT site:v3cars.com mileage","""Toyota Innova Crysta"" Diesel MT site:carwale.com mileage",15.1,,,https://www.spinny.com/blog/toyota-innova-crysta-real-world-mileage/,,,toyota_innova-crysta__2-4-gx-7str__diesel_manual | toyota_innova-crysta__2-4-gx-7str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-gx-8str__diesel_manual | toyota_innova-crysta__2-4-gx-8str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-gx-plus-7str__diesel_manual | toyota_innova-crysta__2-4-gx-plus-7str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-gx-plus-8str__diesel_manual | toyota_innova-crysta__2-4-gx-plus-8str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-vx-7str__diesel_manual | toyota_innova-crysta__2-4-vx-7str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-vx-8str__diesel_manual | toyota_innova-crysta__2-4-vx-8str-platinum-white-pearl__diesel_manual | toyota_innova-crysta__2-4-zx-7str__diesel_manual | toyota_innova-crysta__2-4-zx-7str-platinum-white-pearl__diesel_manual
Tata,Harrier,Diesel,Automatic,AT,167.62bhp_350nm,13,Tata Harrier Adventure X AT | Tata Harrier Adventure X Dark AT | Tata Harrier Adventure X Plus AT | Tata Harrier Adventure X Plus Dark AT | Tata Harrier Fearless Ultra AT | Tata Harrier Fearless Ultra Red Dark AT | Tata Harrier Fearless X AT | Tata Harrier Fearless X Dark AT,"""Tata Harrier"" Diesel AT ARAI mileage","""Tata Harrier"" 167.62bhp 350nm claimed mileage kmpl","""Tata Harrier"" Diesel AT brochure mileage","""Tata Harrier"" Diesel AT site:v3cars.com mileage","""Tata Harrier"" Diesel AT site:carwale.com mileage",14.6,,,,,,tata_harrier__adventure-x-at__diesel_automatic | tata_harrier__adventure-x-dark-at__diesel_automatic | tata_harrier__adventure-x-plus-at__diesel_automatic | tata_harrier__adventure-x-plus-dark-at__diesel_automatic | tata_harrier__fearless-ultra-at__diesel_automatic | tata_harrier__fearless-ultra-red-dark-at__diesel_automatic | tata_harrier__fearless-x-at__diesel_automatic | tata_harrier__fearless-x-dark-at__diesel_automatic | tata_harrier__fearless-x-plus-at__diesel_automatic | tata_harrier__fearless-x-plus-dark-at__diesel_automatic | tata_harrier__fearless-x-plus-stealth-at__diesel_automatic | tata_harrier__pure-x-at__diesel_automatic | tata_harrier__pure-x-dark-at__diesel_automatic
Tata,Safari,Petrol,Automatic,AT,167.62bhp_280nm_petrol,13,Tata Safari Petrol Accomplished Ultra 6S AT | Tata Safari Petrol Accomplished Ultra AT | Tata Safari Petrol Accomplished Ultra Red DARK 6S AT | Tata Safari Petrol Accomplished Ultra Red DARK AT | Tata Safari Petrol Accomplished X DARK AT | Tata Safari Petrol Accomplished X Plus 6S AT | Tata Safari Petrol Accomplished X Plus 6S DARK AT | Tata Safari Petrol Accomplished X Plus AT,"""Tata Safari"" Petrol AT ARAI mileage","""Tata Safari"" 167.62bhp 280nm petrol claimed mileage kmpl","""Tata Safari"" Petrol AT brochure mileage","""Tata Safari"" Petrol AT site:v3cars.com mileage","""Tata Safari"" Petrol AT site:carwale.com mileage",15.5,,,https://www.garwarehitechfilms.com/paint-protection-films/blog/tata-safari-petrol-2025,,,tata_safari__petrol-accomplished-ultra-6s-at__petrol_automatic | tata_safari__petrol-accomplished-ultra-at__petrol_automatic | tata_safari__petrol-accomplished-ultra-red-dark-6s-at__petrol_automatic | tata_safari__petrol-accomplished-ultra-red-dark-at__petrol_automatic | tata_safari__petrol-accomplished-x-dark-at__petrol_automatic | tata_safari__petrol-accomplished-x-plus-6s-at__petrol_automatic | tata_safari__petrol-accomplished-x-plus-6s-dark-at__petrol_automatic | tata_safari__petrol-accomplished-x-plus-at__petrol_automatic | tata_safari__petrol-accomplished-x-plus-dark-at__petrol_automatic | tata_safari__petrol-adventure-x-plus-at__petrol_automatic | tata_safari__petrol-adventure-x-plus-dark-at__petrol_automatic | tata_safari__petrol-pure-x-at__petrol_automatic | tata_safari__petrol-pure-x-dark-at__petrol_automatic
Tata,Safari,Diesel,Manual,MT,167.62bhp_350nm,13,Tata Safari Accomplished Ultra Red DARK | Tata Safari Accomplished X | Tata Safari Accomplished X Dark | Tata Safari Accomplished X Plus | Tata Safari Accomplished X Plus 6S | Tata Safari Accomplished X Plus 6S Dark | Tata Safari Accomplished X Plus Dark | Tata Safari Accomplished X Plus Stealth,"""Tata Safari"" Diesel MT ARAI mileage","""Tata Safari"" 167.62bhp 350nm claimed mileage kmpl","""Tata Safari"" Diesel MT brochure mileage","""Tata Safari"" Diesel MT site:v3cars.com mileage","""Tata Safari"" Diesel MT site:carwale.com mileage",16.3,,,https://www.carwale.com/tata-cars/safari/mileage/,,,tata_safari__accomplished-ultra-red-dark__diesel_manual | tata_safari__accomplished-x__diesel_manual | tata_safari__accomplished-x-dark__diesel_manual | tata_safari__accomplished-x-plus__diesel_manual | tata_safari__accomplished-x-plus-6s__diesel_manual | tata_safari__accomplished-x-plus-6s-dark__diesel_manual | tata_safari__accomplished-x-plus-dark__diesel_manual | tata_safari__accomplished-x-plus-stealth__diesel_manual | tata_safari__adventure-x-plus__diesel_manual | tata_safari__adventure-x-plus-dark__diesel_manual | tata_safari__pure-x__diesel_manual | tata_safari__pure-x-dark__diesel_manual | tata_safari__smart__diesel_manual
Tata,Harrier,Petrol,Manual,MT,167.62bhp_280nm_petrol,12,Tata Harrier Petrol Adventure X | Tata Harrier Petrol Adventure X Plus | Tata Harrier Petrol Adventure X Plus DARK | Tata Harrier Petrol Fearless Ultra | Tata Harrier Petrol Fearless Ultra Red DARK | Tata Harrier Petrol Fearless X | Tata Harrier Petrol Fearless X DARK | Tata Harrier Petrol Fearless X Plus,"""Tata Harrier"" Petrol MT ARAI mileage","""Tata Harrier"" 167.62bhp 280nm petrol claimed mileage kmpl","""Tata Harrier"" Petrol MT brochure mileage","""Tata Harrier"" Petrol MT site:v3cars.com mileage","""Tata Harrier"" Petrol MT site:carwale.com mileage",16.8,,,https://www.bajajgeneralinsurance.com/blog/motor-insurance-articles/tata-harrier-petrol-mileage.html,,,tata_harrier__petrol-adventure-x__petrol_manual | tata_harrier__petrol-adventure-x-plus__petrol_manual | tata_harrier__petrol-adventure-x-plus-dark__petrol_manual | tata_harrier__petrol-fearless-ultra__petrol_manual | tata_harrier__petrol-fearless-ultra-red-dark__petrol_manual | tata_harrier__petrol-fearless-x__petrol_manual | tata_harrier__petrol-fearless-x-dark__petrol_manual | tata_harrier__petrol-fearless-x-plus__petrol_manual | tata_harrier__petrol-fearless-x-plus-dark__petrol_manual | tata_harrier__petrol-pure-x__petrol_manual | tata_harrier__petrol-pure-x-dark__petrol_manual | tata_harrier__petrol-smart__petrol_manual
Tata,Safari,Diesel,Automatic,AT,167.62bhp_350nm,12,Tata Safari Accomplished X AT | Tata Safari Accomplished X Dark AT | Tata Safari Accomplished X Plus 6S AT | Tata Safari Accomplished X Plus 6S Dark AT | Tata Safari Accomplished X Plus 6S Stealth AT | Tata Safari Accomplished X Plus AT | Tata Safari Accomplished X Plus Dark AT | Tata Safari Accomplished X Plus Stealth AT,"""Tata Safari"" Diesel AT ARAI mileage","""Tata Safari"" 167.62bhp 350nm claimed mileage kmpl","""Tata Safari"" Diesel AT brochure mileage","""Tata Safari"" Diesel AT site:v3cars.com mileage","""Tata Safari"" Diesel AT site:carwale.com mileage",14.1,,,https://www.autocarindia.com/cars/tata/safari/mileage,,,tata_safari__accomplished-x-at__diesel_automatic | tata_safari__accomplished-x-dark-at__diesel_automatic | tata_safari__accomplished-x-plus-6s-at__diesel_automatic | tata_safari__accomplished-x-plus-6s-dark-at__diesel_automatic | tata_safari__accomplished-x-plus-6s-stealth-at__diesel_automatic | tata_safari__accomplished-x-plus-at__diesel_automatic | tata_safari__accomplished-x-plus-dark-at__diesel_automatic | tata_safari__accomplished-x-plus-stealth-at__diesel_automatic | tata_safari__adventure-x-plus-at__diesel_automatic | tata_safari__adventure-x-plus-dark-at__diesel_automatic | tata_safari__pure-x-at__diesel_automatic | tata_safari__pure-x-dark-at__diesel_automatic
Tata,Curvv,Diesel,Manual,MT,116bhp_260nm_diesel,10,Tata Curvv Accomplished Plus A Dark Diesel | Tata Curvv Accomplished Plus A Diesel | Tata Curvv Accomplished S Dark Diesel | Tata Curvv Accomplished S Diesel | Tata Curvv Creative Diesel | Tata Curvv Creative Plus S Diesel | Tata Curvv Creative S Diesel | Tata Curvv Pure Plus Diesel,"""Tata Curvv"" Diesel MT ARAI mileage","""Tata Curvv"" 116bhp 260nm diesel claimed mileage kmpl","""Tata Curvv"" Diesel MT brochure mileage","""Tata Curvv"" Diesel MT site:v3cars.com mileage","""Tata Curvv"" Diesel MT site:carwale.com mileage",17,,,https://www.team-bhp.com/new-cars/tata/curvv/mileage/,,,tata_curvv__accomplished-plus-a-dark-diesel__diesel_manual | tata_curvv__accomplished-plus-a-diesel__diesel_manual | tata_curvv__accomplished-s-dark-diesel__diesel_manual | tata_curvv__accomplished-s-diesel__diesel_manual | tata_curvv__creative-diesel__diesel_manual | tata_curvv__creative-plus-s-diesel__diesel_manual | tata_curvv__creative-s-diesel__diesel_manual | tata_curvv__pure-plus-diesel__diesel_manual | tata_curvv__pure-plus-s-diesel__diesel_manual | tata_curvv__smart-diesel__diesel_manual
Tata,Harrier,Petrol,Automatic,AT,167.62bhp_280nm_petrol,10,Tata Harrier Petrol Adventure X AT | Tata Harrier Petrol Adventure X DARK AT | Tata Harrier Petrol Adventure X Plus DARK AT | Tata Harrier Petrol Fearless Ultra AT | Tata Harrier Petrol Fearless Ultra Red DARK AT | Tata Harrier Petrol Fearless X AT | Tata Harrier Petrol Fearless X DARK AT | Tata Harrier Petrol Fearless X Plus AT,"""Tata Harrier"" Petrol AT ARAI mileage","""Tata Harrier"" 167.62bhp 280nm petrol claimed mileage kmpl","""Tata Harrier"" Petrol AT brochure mileage","""Tata Harrier"" Petrol AT site:v3cars.com mileage","""Tata Harrier"" Petrol AT site:carwale.com mileage",16.8,,,https://www.bajajgeneralinsurance.com/blog/motor-insurance-articles/tata-harrier-petrol-mileage.html,,,tata_harrier__petrol-adventure-x-at__petrol_automatic | tata_harrier__petrol-adventure-x-dark-at__petrol_automatic | tata_harrier__petrol-adventure-x-plus-dark-at__petrol_automatic | tata_harrier__petrol-fearless-ultra-at__petrol_automatic | tata_harrier__petrol-fearless-ultra-red-dark-at__petrol_automatic | tata_harrier__petrol-fearless-x-at__petrol_automatic | tata_harrier__petrol-fearless-x-dark-at__petrol_automatic | tata_harrier__petrol-fearless-x-plus-at__petrol_automatic | tata_harrier__petrol-fearless-x-plus-dark-at__petrol_automatic | tata_harrier__petrol-pure-x-dark-at__petrol_automatic
