variant_spec_manual_review_26
gapType,priority,variantProfileKey,variantFullName,fuelKey,transmissionKey,currentPowerBhp,currentTorqueNm,manualPowerBhp,manualTorqueNm,currentLengthMm,currentWidthMm,currentHeightMm,currentWheelbaseMm,currentGroundClearanceMm,currentSeatingCapacity,currentDoors,manualLengthMm,manualWidthMm,manualHeightMm,manualWheelbaseMm,manualGroundClearanceMm,manualSeatingCapacity,manualDoors,sourceName,sourceUrl,sourceNote,evidenceStatus
dimensions_missing,P2,audi_rs-q8__performance__petrol_automatic,Audi Rs Q8 Performance,petrol,automatic,632,850,648,850,5012,,,,,5,,5012,1998,1751,2995,212,5,5,cartrade,https://www.carwale.com/audi-cars/rs-q8-performance/40l-tfsi/,,
dimensions_missing,P2,blinq_ryde__family__electric_automatic,Blinq Ryde Family,electric,automatic,,,,,,,,,,5,,,,,,,,,,,,
dimensions_missing,P2,blinq_ryde__fleets__electric_automatic,Blinq Ryde Fleets,electric,automatic,,,,,,,,,,5,,,,,,,,,,,,
dimensions_missing,P2,bmw_x3__xdrive-20-m-sport__petrol_automatic,Bmw X3 xDrive 20 M Sport,petrol,automatic,187,310,188,310,4755,,,,,5,,4755,1920,1660,2865,204,5,5,cartrade,https://www.carwale.com/bmw-cars/x3/xdrive20-petrol-20l-turbo-automatic/,,
dimensions_missing,P2,mahindra_bolero-pik-up__bolero-pik-up-1-3-t-cbc-ms__diesel_manual,Mahindra Bolero Pik Up Bolero Pik-Up 1.3 T CBC MS,diesel,manual,75.09,200,,,5219,,,,,2,,,,,,,,,,,,
dimensions_missing,P2,maruti_eeco-tour-v__5-seater-std__petrol_manual,Maruti Eeco Tour V 5 Seater STD,petrol,manual,,,,,,,,,,5,,,,,,,,,,,,
dimensions_missing,P2,mercedes-benz_amg-cle-53__mercedes-benz-amg-cle-53-4matic__petrol_automatic,Mercedes Benz Amg Cle 53 Mercedes-Benz AMG CLE 53 4Matic,petrol,automatic,442,560,442,560,4941,,,2875,,4,,4853,2042,1434,2875,160,4,2,cartrade,https://www.carwale.com/mercedes-benz-cars/amg-cle/53-4matic-plus-coupe/,,
dimensions_missing,P2,mercedes_benz-c-class__mercedes-benz-c-class-celebration-edition__petrol_automatic,Mercedes Benz C Class Mercedes-Benz C-Class Celebration Edition,petrol,automatic,254.79,400,201,300,,,,,,5,,4751,1820,1437,2865,164,4,4,cartrade,https://www.carwale.com/mercedes-benz-cars/c-class/c-200-mild-hybridelectric-plus-petrol-15l-turbo-automatic-celebration-edition/,,
dimensions_missing,P2,mercedes-benz_e-class__mercedes-benz-e-class-celebration-edition__petrol_automatic,Mercedes Benz E Class Mercedes-Benz E-Class Celebration Edition,petrol,automatic,375,500,201,320,,,,,,5,,4949,1880,1468,2961,140,5,4,cartrade,https://www.carwale.com/mercedes-benz-cars/e-class/e200-lwb-2wd-petrol-20l-turbo-automatic-celebration-edition/,,
dimensions_missing,P2,mini_cooper-convertible__jcw-pack__petrol_automatic,Mini Cooper Convertible JCW Pack,petrol,automatic,201,300,201,300,3821,,,,,4,,3879,1744,1431,2495,146,4,2,cartrade,https://www.carwale.com/mini-cars/cooper-s-convertible/jcw-pack-petrol-turbo-automatic/,,
